Category;Name;Code;Price;Details
Pet Shop;Antipulgas Bravecto De 10Kg a 20Kg;10971671;139,99;Antipulgas Bravecto de 10kg a 20kgBravecto - 10kg a 20kg tem 99 porcento de eficácia garantida pela fabricante! Único comprimido que protege o seu cão por 90 dias, além disto, por ser um comprimido palatável (em forma de petisco) ele tem ação sistêmica sobre o cachorro, não tendo sua eficiência reduzida após banhos. Pode ser utilizado como parte de uma estratégia de tratamento para a dermatite alérgica à picada de pulgas.Tem eficácia garantida contra pulgas e carrapatos, eliminando-os em 12 e 8 horas. Respectivamente. Além disso, controla as populações de pulgas no ambiente, nas áreas às quais o cão tem acesso.
Pet Shop;Antipulgas Bravecto 4,5Kg A 10Kg;10971597;111,99;Antipulgas Bravecto 4,5kg a 10kgBravecto de 4,5kg a 10kg tem 99,99% de eficácia garantida pela fabricante! Único comprimido que protege o seu cão por 90 dias, além disto, por ser um comprimido palatável (em forma de petisco) ele tem ação sistêmica sobre o cachorro, não tendo sua eficiência reduzida após banhos. Pode ser utilizado como parte de uma estratégia de tratamento para a dermatite alérgica à picada de pulgas.Bravecto é um antipulgas e carrapaticida que elimina carrapatos e pulgas em 12 e 8 horas. Respectivamente. Além disso, controla as populações de pulgas no ambiente, nas áreas às quais o cão tem acesso.
Pet Shop;Removedor Pelos Pets Caes Gatos Moveis Roupas Escova Fur Wizard;12405555;27,00;Fur Wizard Hurricane Removedor De Pelos Gatos Cachorros Detalhes: -Removedor de pêlos de alta tecnologia, auto limpante, O Hurricane Fur Wizard é uma escova de dupla face, extra grande, remove o pêlo e os fiapos duas vezes mais rápido do que uma escova comum, indispensável pra você que tem um pet peludo! -Não há recargas necessárias, sem fitas adesivas e o melhor: super rápido Basta inserir a escova na base de autolimpação que ela será totalmente limpa como num passe de mágica, removendo todos os pelos da escova, armazenando-os na base. Após a limpeza completa basta remover a base e jogar os pelos no lixo. O que está incluso neste pacote exclusivo: Cor: Azul Material: Plastico Uso: Removedor De Pelos Dimensões: Altura: 28 Cm Largura:8 Cm Comprimento:3 Cm Conteúdo Da Embalagem: - 1 Escova de Hurricane Fur Wizard - 1 Base autônoma de limpeza 3 meses de garantia contra defeitos de fabricação *565      Mod. 888447
Pet Shop;Luva Escova P&B Magnética Tira Pelos Dos Pets Cães E Gatos;13714484;9,90;Esta Luva Mágica P&B  para os seus Pets você pode ficar tranquilo enquanto acaricia seu amigão e removendo o excesso de pelos do dog. Ao contrário das tradicionais escovas e luvas, com a Luva Magnética seu animalzinho não se assustara ou tentara fugir, fica muito mais fácil cuidar do pelo dele, e consequentemente você não terá pelos espalhados pela casa, ou apartamento, pra quem é alérgico(a) e não pode ter pelos pelo sofá, essa é a luva que irá limpar seu Pet, gerando mais saúde, um ambiente mais saudável.Os pelos aderem à luva pelo magnetismo, tornando mais fácil pegar e jogar fora o pelo do seu animal de estimação.Mantenha sua casa limpa com as Luva P&B Magnética para os Pets, minimizando o caimento de pelos de gatos e cães.Removedor de pêlos para animais de estimação para todos os tamanhos e raças, independente da quantidade de pelosTamanho único, ajustável para vários tamanhos de mão.Material: borrachaindicado para: Cães, gatos, macacos e outros animais de estimação.Cor principal: Azul + Pretotamanho:diâmetro de cerca de 6 CM,comprimento cerca de 7.5 CMQuantidade: 1 Pc
Pet Shop;Bravecto Antipulgas e Carrapatos Cães 2 a 4,5kg (112,5mg) - MSD;11600778;153,92;Bravecto aqui é Principal indicaçãoIndicado para o tratamento de infestações por carrapatos e pulgas, em cães, proporcionando 12 semanas de proteção (3 meses).Descrição do produto Bravecto comprimidos mastigáveis da MSD Saúde Animal é um inseticida e acaricida sistêmico com longa duração de ação que promove eficácia imediata e persistente por 12 semanas contra carrapatos (formas adultas e jovens de Ixodes ricinus, Ixodes hexagonus, Ixodes scapularis, Ixodes holocyclus, Dermacentor reticulatus, Dermacentor variabilis e Rhipicephalus sanguineus) e pulgas (Ctenocephalides felis e Ctenocephalides canis).Pulgas e carrapatos devem estar aderidos ao cão e iniciar a alimentação para serem expostos ao princípio ativo. O início da ação é dentro de 8 horas para pulgas e 12 horas para carrapatos.O produto controla eficazmente as populações de pulgas no ambiente, nas áreas às quais o cão tem acesso.O produto pode ser utilizado como parte de uma estratégia de tratamento para a dermatite alérgica à picada de pulgas.FormulaçãoCada 1 g do produto contém:Fluralaner ................................136,4 mgExcipientes q.s.p. ...........................1,0 gApresentaçãoCartuchos contendo 1 comprimido mastigável de 112,5mg (cães entre 2 e 4,5Kg)Modo de usarComprimido mastigável para administração oral.PosologiaOs comprimidos mastigáveis devem ser administrado de acordo com a faixa de peso do animal, para cães de 2 a 4kg deve-se dar 1 comprimido de 112,5mg. O equivalente a 25-56 mg fluralaner por kg peso corporal dentro de cada faixa de peso.Informações adicionaisOs comprimidos não devem ser quebrados ou divididos.Consulte sempre seu Médico Veterinário.
Pet Shop;Stomorgyl 2mg Antibiótico Cães e Gatos c/ 20 comp - Merial;11600522;65,91;Compre Stomorgyl na Farmácia de BichoPrincipal indicaçãoTratamento das afecções bucodentárias de cães e gatos: estomatites, gengivites, glossites, periodontites, piorréias, etc.Descrição do produtoStomorgyl é uma associação de dois princípios ativos: Espiramicina, antibiótico da classe dos macrolídeos e Metronidazol, antiinfeccioso da série dos nitroimidazóis.Stomorgyl atua sobre Peptostreptococcus spp, Streptococcus spp, Actionomyces spp, Bacteroides spp, Fusobacterium spp, Actinobacillusspp, Capnocytophaga spp, Spirochaeta, Clostridium spp, Entamoeba histolytica, Giardia lamblia, Balantidium coli.Eficaz no tratamento das principais afeccções bucodentárias: estomatite, gengivite, fístula oronasal, abscesso dentário, periodontite, halitose (tratamento paliativo que deve ser associado a remoção de tártaro), Pré e pós-operatório de intervenções da cavidade oral e faringiana, e na extração de tártaro,  Doenças infecciosas do trato gastrintestinal: coccidiose e giardíase, Abscessos, otites e afecções glandulares, cutâneas e ósseasRecomendaçõesO tratamento deve ser acompanhado de remoção de tártaro e meticulosa limpeza oral efetuada pelo médico veterinário.FormulaçãoCada drágea contém:Espiramicina .................................................... 150.000 UI*Metronidazol .......................................................... 25 mgExcipiente q.s.p. .................................................. 1 drágea* cada mg de Espiramicina contém em média 3.200 UI.ApresentaçãoCaixa com 20 comprimidos divisíveis.Modo de usarAdministração via oral.PosologiaStomorgyl 2 é administrado por via oral, à base diária de 75.000 UI/kg de Espiramicina e de 12,5 mg/kg de Metronidazol, durante 5-10 dias, ou seja, 1 drágea cada 24 horas para cada 2kg de peso.Continuar o tratamento por 48 horas após o desaparecimento dos sintomas.Consulte sempre seu Médico Veterinário.
Pet Shop;Bravecto Antipulgas e Carrapatos Cães 20 a 40kg (1000mg) - MSD;11600771;217,92;Bravecto aqui é Principal indicaçãoIndicado para o tratamento de infestações por carrapatos e pulgas, em cães, proporcionando 12 semanas de proteção (3 meses).Descrição do produto Bravecto comprimidos mastigáveis da MSD Saúde Animal é um inseticida e acaricida sistêmico com longa duração de ação que promove eficácia imediata e persistente por 12 semanas contra carrapatos (formas adultas e jovens de Ixodes ricinus, Ixodes hexagonus, Ixodes scapularis, Ixodes holocyclus, Dermacentor reticulatus, Dermacentor variabilis e Rhipicephalus sanguineus) e pulgas (Ctenocephalides felis e Ctenocephalides canis).Pulgas e carrapatos devem estar aderidos ao cão e iniciar a alimentação para serem expostos ao princípio ativo. O início da ação é dentro de 8 horas para pulgas e 12 horas para carrapatos.O produto controla eficazmente as populações de pulgas no ambiente, nas áreas às quais o cão tem acesso.O produto pode ser utilizado como parte de uma estratégia de tratamento para a dermatite alérgica à picada de pulgas.FormulaçãoCada 1 g do produto contém:Fluralaner ................................136,4 mgExcipientes q.s.p. ......................1,0 gApresentaçãoCartuchos contendo 1 comprimido mastigável de 1000mg (cães entre 20 e 40Kg)Modo de usarComprimido mastigável para administração oral.PosologiaOs comprimidos mastigáveis devem ser administrado de acordo com a faixa de peso do animal, para cães de 20 a 40kg deve-se dar 1 comprimido de 1000mg. O equivalente a 25-56 mg fluralaner por kg peso corporal dentro de cada faixa de peso.Informações adicionaisOs comprimidos não devem ser quebrados ou divididos.Consulte sempre seu Médico Veterinário.
Pet Shop;Coleira Scalibor Cães grande Porte 65cm - MSD;11601334;62,91;Coleira Scalibor. Principal indicaçãoColeira anti-pulgas e carrapatos, repelente de moscas e mosquitos, repele de forma eficaz o transmissor da Leishmaniose canina.Descrição do produtoScalibor da Intervet/MSD é uma Coleira antiparasitária para cães, à base de Deltametrina.Indicado para o controle das picadas do mosquito vetor da Leishmaniose Visceral Canina (Lutzomyia longipalpis ).Auxiliar no controle aos carrapatos, moscas e pulgas.Imediatamente após a sua colocação no pescoço do cão, começa a liberação do seu princípio ativo, a Deltametrina. Este se distribui de forma rápida e uniforme pela pele do cão até atingir todo o corpo. Diferente das tradicionais coleiras, a liberação do princípio ativo da coleira Scalibor não se faz por evaporação, evitando-se assim perdas do princípio ativo e odores desagradáveis, garantindo eficácia sem igual.Indicações- Para Controle dos mosquitos (incluindo o transmissor da Leishmaniose canina)- Para Controle das moscas de ponta de orelha e outras espécies, que provocam irritação cutânea e/ou alérgica na pele de cães.- Auxiliar no controle das infestações de Carrapato Rhipicephalus sanguineus e a Pulga Ctenocephalides felis, que acometem os cães.A coleira Scalibor da Intervet/MSD foi desenvolvida para promover uma liberação lenta do princípio ativo (Deltametrina).Após colocar a coleira, durante as 2-3 primeiras semanas, ocorrerá uma lenta diminuição das infestações, com aumento da eficácia após esse período, auxiliando no controle de carrapatos e pulgas.Para moscas e mosquitos, o controle é garantido por até 4 meses.Scalibor pode ser utilizada continuamente, com a substituição da coleira respeitando os prazos de ação do produto.Não é necessário retirar a coleira durante o banho ou períodos de chuva, seu cão estará sempre protegido.FormulaçãoPara uma coleira de 25g:Deltametrina.......................................1,000gExcipiente q.s.p.................................25,000gApresentaçãoCaixa com 1 coleira de 25g - 65 cm (p/ cães de grande porte ? acima de 20kg)Modo de usarColocar a coleira em volta do pescoço do animal, regular o tamanho (evitar que fique muito apertada) e afivelar.*Se houver sobra, cortar a ponta aprox. 5cm após a fivela.Consulte sempre seu Médico Veterinário
Pet Shop;Luva Escova Magnética Tira Pelos Dos Cães E Gatos;12169254;10,50;Luva Escova Magnética Tira Pelos Dos Cães E Gatos Características: Tamanho único, ajustável para vários tamanhos de mão. Imita o toque de sua mão para uma massagem para seu pet. Possuí 180 pontas de silicone, que potencializam em 100X a eficiência. Os pelos aderem à luva pelo magnetismo, tornando mais fácil pegar e jogar fora o pelo do seu animal de estimação. Cor: Azul Com Preto Medidas Aproximadas : 22cm de Altura X 15cm de Comprimento .
Pet Shop;Condroton Injetável 10ml Suplemento Articulação - Vetnil;11600890;67,62;Condroton Principal indicaçãoRegenerador articular injetável, a base de Sulfato de Condroitina A, indicado em casos de artrites, artroses, displasias e degenerações gerais das articulações.Descrição do produtoIndicado para cães e gatos como auxiliar nos tratamentos de artropatias não infecciosas, tais como: artrites, artroses, osteoartroses, hidroartroses, artropatias degenerativas, displasias coxo-femorais, espondiloses, espondiloses anquilosantes, condropatias, sinovites, patologias tendíneas, osteodistrofias e condrodistrofias, pós-operatório de cirurgias articulares, coadjuvante em casos de fraturas, além de atuar também na profilaxia de doenças osteoarticulares e condro-proteção de animais submetidos a grandes esforços. Também indicado para fortalecimento da cartilagem auricular de cães submetidos à conchectomias. Condroton Injetável está indicado para:- Artropatias em geral, - Patologias tendíneas, - Pós-operatório de cirurgias articulares, - Auxiliar para casos de fratura, - Prevenção de doenças osteoarticulares, - Condro-proteção para animais submetidos a grandes esforços. Formulação injetável que permite uma ação eficaz e rápida no tratamento coadjuvante de artropatias dos animais, Contém elementos que apresentam tropismo para os tecidos articulares e cartilaginoso, Inibe os processos enzimáticos degenerativos das articulações, Estimula formação da cartilagem, Permite a reposição do que foi perdido durante processos patológicos (condro-reparação) e do que se perde na atividade normal do animal (condro-proteção). FormulaçãoCada 100 mL contém:Sulfato de Condroitina ?A?............................ 7,5 gSulfato de Glucosamina................................ 7,5 gVeículo q.s.p........................................ 100,0 mLApresentaçãoFrasco ampola contendo 5 ou 10 mL. Modo de usarUso injetável via intramuscular ou subcutânea.PosologiaCães e Gatos:Até 10 kg: 2 mLDe 10 a 25 kg: 4 mLAcima de 25 kg: 5 mLAplicar uma dose a cada 3 ou 7 dias, durante 4 a 8 semanas.As dosagens poderão ser alteradas de acordo com a orientação do Médico Veterinário.  Consulte sempre seu Médico Veterinário.
